GEOID,NAME,variable,estimate,moe
10005,"Sussex County, Delaware",B25077_001,353300,7520
11001,"District of Columbia, District of Columbia",B25077_001,724600,9892
12001,"Alachua County, Florida",B25077_001,266800,6091
12003,"Baker County, Florida",B25077_001,225000,12259
12005,"Bay County, Florida",B25077_001,276900,6672
12007,"Bradford County, Florida",B25077_001,180300,10325
12009,"Brevard County, Florida",B25077_001,304400,4914
12011,"Broward County, Florida",B25077_001,380400,3409
12013,"Calhoun County, Florida",B25077_001,134000,28794
12015,"Charlotte County, Florida",B25077_001,291000,5597
12017,"Citrus County, Florida",B25077_001,223200,5572
12019,"Clay County, Florida",B25077_001,281500,4886
12021,"Collier County, Florida",B25077_001,486800,8758
12023,"Columbia County, Florida",B25077_001,186400,8387
12027,"DeSoto County, Florida",B25077_001,151500,8342
12029,"Dixie County, Florida",B25077_001,96900,5212
12031,"Duval County, Florida",B25077_001,274900,3078
12033,"Escambia County, Florida",B25077_001,234200,3947
12035,"Flagler County, Florida",B25077_001,333400,7857
12037,"Franklin County, Florida",B25077_001,254300,29694
12039,"Gadsden County, Florida",B25077_001,154700,15139
12041,"Gilchrist County, Florida",B25077_001,191000,10268
12043,"Glades County, Florida",B25077_001,114800,26563
12045,"Gulf County, Florida",B25077_001,235700,27116
12047,"Hamilton County, Florida",B25077_001,110400,9584
12049,"Hardee County, Florida",B25077_001,129400,17577
12051,"Hendry County, Florida",B25077_001,189700,12101
12053,"Hernando County, Florida",B25077_001,240700,4031
12055,"Highlands County, Florida",B25077_001,177900,7281
12057,"Hillsborough County, Florida",B25077_001,333300,3171
12059,"Holmes County, Florida",B25077_001,101400,12870
12061,"Indian River County, Florida",B25077_001,314700,8549
12063,"Jackson County, Florida",B25077_001,113900,4729
12065,"Jefferson County, Florida",B25077_001,198800,36867
12067,"Lafayette County, Florida",B25077_001,131600,26374
12069,"Lake County, Florida",B25077_001,287900,5535
12071,"Lee County, Florida",B25077_001,326300,3843
12073,"Leon County, Florida",B25077_001,279800,5722
12075,"Levy County, Florida",B25077_001,171400,13257
12077,"Liberty County, Florida",B25077_001,117600,18845
12079,"Madison County, Florida",B25077_001,105900,13571
12081,"Manatee County, Florida",B25077_001,359800,6119
12083,"Marion County, Florida",B25077_001,220800,4313
12085,"Martin County, Florida",B25077_001,386500,9672
12086,"Miami-Dade County, Florida",B25077_001,425400,3015
12087,"Monroe County, Florida",B25077_001,723800,18808
12089,"Nassau County, Florida",B25077_001,351100,11868
12091,"Okaloosa County, Florida",B25077_001,324800,6701
12093,"Okeechobee County, Florida",B25077_001,179000,10155
12095,"Orange County, Florida",B25077_001,358300,3552
12097,"Osceola County, Florida",B25077_001,317600,4872
12099,"Palm Beach County, Florida",B25077_001,407300,4667
12101,"Pasco County, Florida",B25077_001,265800,4588
12103,"Pinellas County, Florida",B25077_001,319000,3967
12105,"Polk County, Florida",B25077_001,240000,2999
12107,"Putnam County, Florida",B25077_001,147300,14019
12109,"St. Johns County, Florida",B25077_001,457600,7339
12111,"St. Lucie County, Florida",B25077_001,305800,6369
12113,"Santa Rosa County, Florida",B25077_001,302100,8163
12115,"Sarasota County, Florida",B25077_001,373100,4210
12117,"Seminole County, Florida",B25077_001,357300,4389
12119,"Sumter County, Florida",B25077_001,356000,8554
12121,"Suwannee County, Florida",B25077_001,160900,10075
12123,"Taylor County, Florida",B25077_001,100200,14521
12125,"Union County, Florida",B25077_001,160400,16719
12127,"Volusia County, Florida",B25077_001,278000,3445
12129,"Wakulla County, Florida",B25077_001,216300,14619
12131,"Walton County, Florida",B25077_001,376400,24129
12133,"Washington County, Florida",B25077_001,156000,21392
13001,"Appling County, Georgia",B25077_001,81400,16698
13003,"Atkinson County, Georgia",B25077_001,76300,17129
13005,"Bacon County, Georgia",B25077_001,104100,21640
13007,"Baker County, Georgia",B25077_001,120100,18317
13009,"Baldwin County, Georgia",B25077_001,164700,8919
13011,"Banks County, Georgia",B25077_001,251700,17403
13013,"Barrow County, Georgia",B25077_001,255200,6978
13015,"Bartow County, Georgia",B25077_001,262200,7668
13017,"Ben Hill County, Georgia",B25077_001,114600,12572
13019,"Berrien County, Georgia",B25077_001,115200,12692
13021,"Bibb County, Georgia",B25077_001,165800,5330
13023,"Bleckley County, Georgia",B25077_001,132900,15316
13025,"Brantley County, Georgia",B25077_001,91800,29777
13027,"Brooks County, Georgia",B25077_001,118100,12732
13029,"Bryan County, Georgia",B25077_001,317100,16376
13031,"Bulloch County, Georgia",B25077_001,191600,13441
13033,"Burke County, Georgia",B25077_001,107800,24212
13035,"Butts County, Georgia",B25077_001,227800,13988
13037,"Calhoun County, Georgia",B25077_001,82200,17496
13039,"Camden County, Georgia",B25077_001,233900,7975
13043,"Candler County, Georgia",B25077_001,135600,32616
13045,"Carroll County, Georgia",B25077_001,227500,7735
13047,"Catoosa County, Georgia",B25077_001,214200,8519
13049,"Charlton County, Georgia",B25077_001,119000,20228
13051,"Chatham County, Georgia",B25077_001,273300,6317
13053,"Chattahoochee County, Georgia",B25077_001,99800,66366
13055,"Chattooga County, Georgia",B25077_001,98700,12695
13057,"Cherokee County, Georgia",B25077_001,389800,6347
13059,"Clarke County, Georgia",B25077_001,271900,7902
13061,"Clay County, Georgia",B25077_001,92500,21693
13063,"Clayton County, Georgia",B25077_001,194500,4889
13065,"Clinch County, Georgia",B25077_001,86300,6337
13067,"Cobb County, Georgia",B25077_001,373700,3636
13069,"Coffee County, Georgia",B25077_001,125700,11391
13071,"Colquitt County, Georgia",B25077_001,121400,5056
13073,"Columbia County, Georgia",B25077_001,287400,6589
13075,"Cook County, Georgia",B25077_001,123000,14848
13077,"Coweta County, Georgia",B25077_001,321900,9053
13079,"Crawford County, Georgia",B25077_001,144800,34732
13081,"Crisp County, Georgia",B25077_001,120800,15066
13083,"Dade County, Georgia",B25077_001,166600,11142
13085,"Dawson County, Georgia",B25077_001,351900,19223
13087,"Decatur County, Georgia",B25077_001,146200,16802
13089,"DeKalb County, Georgia",B25077_001,331400,5275
13091,"Dodge County, Georgia",B25077_001,108700,15997
13093,"Dooly County, Georgia",B25077_001,96400,10603
13095,"Dougherty County, Georgia",B25077_001,129200,5558
13097,"Douglas County, Georgia",B25077_001,262200,7816
